Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter,Case Thickness,Band Width,Dial Color,Crystal Material,Complications,Power Reserve,Price,Complication_Score,Luxury_Index,Movement_Complexity,Case_Proportion,Dial_Score,Material_Match,Has_Power_Reserve,Case_Size_Category,Has_Complication,Brand_Tier_encoded,Water_Tier_encoded,Brand_Tier_Mid-Range,Brand_Tier_Other,Brand_Tier_Very High-End,Water_Tier_Professional,Water_Tier_Standard,Brand_Case,Material_Luxury,HighEnd_Dial,Power_Material
Longines,Master Collection,Stainless Steel,Leather,Automatic,30,38.5,9.7,20.0,Silver,Sapphire,['Date'],64.0,1150.0,1,12,1,3.9690680731256984,3,0,1,1,1,1,0,True,False,False,False,False,3.9690680731256984,0,0,0
Oris,Big Crown ProPilot,Stainless Steel,Fabric,Automatic,100,41.0,12.0,20.0,Black,Sapphire,"['Date', 'GMT']",38.0,1800.0,3,12,1,3.4166638194468173,3,0,1,2,1,1,2,True,False,False,False,True,3.4166638194468173,0,0,0
Bell & Ross,Aviation,Stainless Steel,Rubber,Automatic,100,42.0,11.5,24.0,Black,Sapphire,['Chronograph'],42.0,4500.0,3,13,1,3.6521707372428374,3,0,1,2,1,1,2,True,False,False,False,True,3.6521707372428374,0,0,0
Sinn,104,Stainless Steel,Leather,Automatic,200,41.0,11.5,20.0,Black,Sapphire,['Date'],42.0,1400.0,1,12,1,3.565214291118008,3,0,1,2,1,2,1,False,True,False,True,False,7.130428582236016,0,0,0
Breguet,Classique,White Gold,Leather,Manual,30,38.0,8.65,20.0,Silver,Sapphire,['None'],40.0,16000.0,0,14,1,4.393058505134676,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Silver,Sapphire,['Date'],60.0,22000.0,1,10,1,4.18366920033755,3,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,3,1
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,['Date'],40.0,19000.0,1,11,1,3.727269338846056,5,0,1,2,1,3,2,False,False,True,False,True,11.181808016538167,0,5,0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,14.5,20.0,Black,Sapphire,"['Chronograph', 'Tachymeter']",60.0,4500.0,5,14,1,2.89654972651743,3,1,1,2,1,0,0,False,False,False,False,False,0.0,14,0,1
Breitling,Superocean,Stainless Steel,Rubber,Automatic,225,42.0,13.3,20.0,Blue,Sapphire,['Date'],38.0,3200.0,1,11,1,3.1578923624869453,5,0,1,2,1,1,1,True,False,False,True,False,3.1578923624869453,0,0,0
Panerai,Luminor Base Logo,Stainless Steel,Leather,Manual,100,44.0,10.5,22.0,Black,Sapphire,['None'],56.0,3900.0,0,11,1,4.190472199550286,3,0,1,2,0,1,2,True,False,False,False,True,4.190472199550286,0,0,0
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,11.9,22.0,Black,Sapphire,['None'],70.0,3500.0,0,11,1,3.4453752559871798,3,0,1,2,0,1,1,True,False,False,True,False,3.4453752559871798,0,0,0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.5,20.0,Black,Sapphire,['GMT'],48.0,14000.0,2,11,1,3.199997440002048,3,1,1,1,1,0,2,False,False,False,False,True,0.0,11,0,1
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,12.5,20.0,Black,Sapphire,['Date'],42.0,4800.0,1,12,1,3.2799973760020995,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,39.0,7.58,20.0,Silver,Sapphire,['None'],70.0,7500.0,0,11,1,5.145111945762605,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,100,42.0,9.3,22.0,Black,Sapphire,['None'],102.5,8350.0,0,12,1,4.516124176210563,3,0,1,2,0,1,2,True,False,False,False,True,4.516124176210563,0,0,0
Montblanc,1858 Geosphere,Stainless Steel,Leather,Automatic,100,42.0,11.2,22.0,Black,Sapphire,"['World Time', 'GMT']",42.0,6200.0,4,15,1,3.7499966517887042,3,0,1,2,1,1,2,True,False,False,False,True,3.7499966517887042,0,0,0
Cartier,Santos-Dumont,Stainless Steel,Leather,Quartz,30,38.0,7.5,18.0,Silver,Sapphire,['None'],55.0,3500.0,0,11,0,5.0666599111201185,3,0,1,1,0,1,0,True,False,False,False,False,5.0666599111201185,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Black,Sapphire,['Date'],60.0,21000.0,1,10,1,3.9423039016308636,3,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,3,1
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,37.0,12.0,20.0,Silver,Sapphire,['Date'],70.0,9000.0,1,10,1,3.08333076389103,3,1,1,1,1,0,2,False,False,False,False,True,0.0,10,0,1
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Non-Sapphire,"['Chronograph', 'Tachymeter']",48.0,5250.0,5,11,1,2.9370608831742073,3,1,1,2,1,0,0,False,False,False,False,False,0.0,11,0,1
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,40.4,12.3,20.0,Silver,Sapphire,['Date'],60.0,8800.0,1,12,1,3.284550175162459,3,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Black,Sapphire,['Date'],60.0,17800.0,1,10,1,3.9423039016308636,3,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,3,1
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.4,23.0,Black,Sapphire,['Date'],102.5,11500.0,1,10,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,20.0,Silver,Sapphire,['Chronograph'],50.0,6500.0,3,14,1,3.294115063439166,3,0,1,2,1,2,2,False,True,False,False,True,6.588230126878332,0,0,0
Breguet,Classique,Rose Gold,Leather,Automatic,30,39.0,8.65,20.0,Silver,Sapphire,['None'],45.0,23500.0,0,14,1,4.508665307901378,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Piaget,Polo S,Stainless Steel,Stainless Steel,Automatic,100,42.0,9.4,24.0,Blue,Sapphire,['Date'],50.0,10000.0,1,10,1,4.468080353106007,5,1,1,2,1,2,2,False,True,False,False,True,8.936160706212014,10,0,1
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100,44.0,12.5,22.0,Blue,Sapphire,['Date'],60.0,9500.0,1,11,1,3.519997184002253,5,0,1,2,1,1,2,True,False,False,False,True,3.519997184002253,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,20.0,Silver,Sapphire,['Date'],60.0,21500.0,1,10,1,3.727269338846056,3,1,1,2,1,3,2,False,False,True,False,True,11.181808016538167,10,3,1
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30,43.0,12.27,23.0,Black,Sapphire,['None'],68.0,9800.0,0,11,1,3.5044796214510017,3,0,1,2,0,2,0,False,True,False,False,False,7.008959242902003,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,['Date'],60.0,19900.0,1,10,1,3.9423039016308636,5,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,5,1
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.5,22.0,Black,Sapphire,['Date'],102.5,14400.0,1,10,1,2.903223933403914,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Breguet,Type XXI,Stainless Steel,Leather,Automatic,100,42.0,13.85,22.0,Silver,Sapphire,['Chronograph'],48.0,9500.0,3,14,1,3.0324887852066533,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,100,40.0,5.15,25.0,Black,Sapphire,['None'],60.0,12800.0,0,13,1,7.7669752097568745,3,0,1,1,0,2,2,False,True,False,False,True,15.533950419513749,0,0,0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,44.0,13.7,20.0,Black,Sapphire,['Chronograph'],42.0,6500.0,3,14,1,3.2116764878273814,3,0,1,2,1,1,0,True,False,False,False,False,3.2116764878273814,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,20.0,Blue,Sapphire,['None'],54.0,7800.0,0,9,1,3.8602905695858736,5,1,1,2,0,0,2,False,False,False,False,True,0.0,9,0,1
Glashütte Original,Senator,Stainless Steel,Leather,Automatic,50,42.0,12.2,21.0,Silver,Sapphire,['None'],40.0,9200.0,0,11,1,3.4426201289998946,3,0,1,2,0,2,0,False,True,False,False,False,6.885240257999789,0,0,0
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50,42.0,9.3,20.0,Black,Sapphire,['None'],42.0,6500.0,0,12,1,4.516124176210563,3,0,1,2,0,1,0,True,False,False,False,False,4.516124176210563,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Silver,Sapphire,['None'],60.0,8400.0,0,11,1,3.333330623308436,3,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30,43.0,12.13,23.0,Silver,Sapphire,['None'],68.0,6200.0,0,11,1,3.5449270033577878,3,0,1,2,0,2,0,False,True,False,False,False,7.0898540067155755,0,0,0
Longines,Master Collection,Stainless Steel,Leather,Automatic,30,38.5,9.3,20.0,Blue,Sapphire,['Date'],42.0,1600.0,1,12,1,4.139780494859683,5,0,1,1,1,1,0,True,False,False,False,False,4.139780494859683,0,0,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,20.0,Blue,Sapphire,['Date'],45.0,29800.0,1,10,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,10,5,1
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,24500.0,1,10,1,4.18366920033755,5,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,5,1
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Silver,Sapphire,['None'],60.0,7950.0,0,11,1,3.333330623308436,3,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50,42.0,10.5,22.0,Black,Sapphire,['None'],42.0,8200.0,0,12,1,3.999996190479819,3,0,1,2,0,1,0,True,False,False,False,False,3.999996190479819,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.4,23.0,Black,Sapphire,['Date'],102.5,11500.0,1,10,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100,42.0,13.1,22.0,Silver,Sapphire,['Chronograph'],50.0,9400.0,3,14,1,3.2061044228210513,3,0,1,2,1,2,2,False,True,False,False,True,6.412208845642103,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,38.0,10.88,25.0,Blue,Sapphire,['None'],54.0,6700.0,0,9,1,3.492643848672933,5,1,1,1,0,0,2,False,False,False,False,True,0.0,9,0,1
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,11.43,20.0,Black,Sapphire,['Chronograph'],42.0,6100.0,3,14,1,3.6745374675962665,3,0,1,2,1,1,0,True,False,False,False,False,3.6745374675962665,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,['Date'],60.0,16300.0,1,10,1,3.727269338846056,5,1,1,2,1,3,2,False,False,True,False,True,11.181808016538167,10,5,1
Montblanc,1858,Stainless Steel,Leather,Automatic,100,42.0,12.8,22.0,Black,Sapphire,['None'],38.0,3600.0,0,11,1,3.2812474365254403,3,0,1,2,0,1,2,True,False,False,False,True,3.2812474365254403,0,0,0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,225,44.0,12.5,22.0,Black,Sapphire,['Date'],60.0,9500.0,1,11,1,3.519997184002253,3,0,1,2,1,1,1,True,False,False,True,False,3.519997184002253,0,0,0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,41.0,11.2,20.0,Silver,Sapphire,['Date'],70.0,8900.0,1,10,1,3.6607110172223063,3,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,"['Date', 'Moon Phase']",48.0,32750.0,3,12,1,4.915656728124423,5,1,1,2,1,3,2,False,False,True,False,True,14.74697018437327,12,5,1
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,['Date'],60.0,17000.0,1,10,1,3.9423039016308636,5,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,5,1
Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200,41.0,12.7,22.0,Black,Sapphire,['None'],70.0,4500.0,0,9,1,3.228343914689831,3,0,1,2,0,1,1,True,False,False,True,False,3.228343914689831,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Silver,Sapphire,"['Chronograph', 'Date']",46.0,8300.0,4,15,1,3.333330623308436,3,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,225,44.0,13.05,24.0,Black,Sapphire,"['Date', 'Second Time Zone']",72.0,8900.0,3,14,1,3.3716449259425856,3,0,1,2,1,1,1,True,False,False,True,False,3.3716449259425856,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,43.6,13.83,23.0,Black,Sapphire,"['Date', 'Unidirectional Bezel']",102.5,12000.0,2,11,1,3.152564604074762,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50,45.0,10.95,24.0,Blue,Sapphire,['Date'],42.0,7500.0,1,13,1,4.109585288049965,5,0,1,2,1,1,0,True,False,False,False,False,4.109585288049965,0,0,0
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50,42.0,14.05,22.0,Silver,Sapphire,"['Chronograph', 'Date']",50.0,6900.0,4,15,1,2.9893217157852554,3,0,1,2,1,2,0,False,True,False,False,False,5.978643431570511,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50,41.0,11.0,20.0,Blue,Sapphire,"['Date', 'Second Time Zone']",60.0,15500.0,3,12,1,3.727269338846056,5,1,1,2,1,3,0,False,False,True,False,False,11.181808016538167,12,5,1
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Black,Sapphire,['None'],54.0,11200.0,0,9,1,3.8602905695858736,3,1,1,2,0,0,2,False,False,False,False,True,0.0,9,0,1
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,39.0,9.4,20.0,Blue,Sapphire,"['Date', 'Power Reserve Indicator']",60.0,18900.0,3,12,1,4.148931756455578,5,1,1,1,1,3,0,False,False,True,False,False,12.446795269366735,12,5,1
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,20.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,10,5,1
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,12.5,20.0,Black,Sapphire,"['Date', 'Chronograph']",44.0,5500.0,4,15,1,3.2799973760020995,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Panerai,Luminor,Titanium,Rubber,Automatic,225,44.0,15.65,24.0,Black,Sapphire,['Date'],72.0,9600.0,1,13,1,2.8114998009585936,3,0,1,2,1,1,1,True,False,False,True,False,2.8114998009585936,0,0,0
Breguet,Type XX,Stainless Steel,Leather,Automatic,100,39.5,14.1,20.0,Black,Sapphire,"['Date', 'Chronograph', 'Flyback']",48.0,8800.0,6,17,1,2.8014164528961327,3,0,1,1,1,0,2,False,False,False,False,True,0.0,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,225,43.0,13.4,23.0,Black,Sapphire,['Date'],102.5,14700.0,1,11,1,3.2089528291396796,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Blue,Sapphire,['Date'],54.0,10600.0,1,10,1,3.8602905695858736,5,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,20.0,Black,Sapphire,['Date'],60.0,19200.0,1,10,1,3.727269338846056,3,1,1,2,1,3,2,False,False,True,False,True,11.181808016538167,10,3,1
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.15,19.0,Silver,Sapphire,['Chronograph'],50.0,7500.0,3,14,1,3.127569442329677,3,0,1,1,1,2,2,False,True,False,False,True,6.255138884659354,0,0,0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,12.67,20.0,Black,Sapphire,['Chronograph'],48.0,5600.0,3,14,1,3.3149145107225646,3,0,1,2,1,1,0,True,False,False,False,False,3.3149145107225646,0,0,0
Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,225,43.0,12.75,22.0,Blue,Sapphire,['Date'],64.0,1400.0,1,10,1,3.372546374473432,5,1,1,2,1,1,1,True,False,False,True,False,3.372546374473432,10,0,1
Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,225,40.0,13.0,20.0,Black,Sapphire,['Date'],48.0,9500.0,1,10,1,3.0769207100609925,3,1,1,1,1,0,1,False,False,False,True,False,0.0,10,0,1
Omega,Seamaster,Titanium,Rubber,Automatic,225,43.5,14.47,21.0,Blue,Sapphire,['Date'],60.0,5800.0,1,13,1,3.006217687479138,5,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100,41.0,13.0,20.0,White,Sapphire,['Chronograph'],42.0,4200.0,3,14,1,3.153843727812517,4,0,1,2,1,1,2,True,False,False,False,True,3.153843727812517,0,0,0
Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,30,43.0,14.25,22.0,Black,Sapphire,['Chronograph'],70.0,7900.0,3,12,1,3.0175417420759705,3,1,1,2,1,1,0,True,False,False,False,False,3.0175417420759705,12,0,1
Cartier,Tank Solo,Stainless Steel,Leather,Quartz,30,37.0,6.05,20.0,Silver,Sapphire,['None'],55.0,2800.0,0,11,0,6.115692370756412,3,0,1,1,0,1,0,True,False,False,False,False,6.115692370756412,0,0,0
Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,30,42.9,9.2,20.0,Black,Sapphire,['None'],45.0,5500.0,0,11,1,4.663038409740859,3,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.75,22.0,Black,Sapphire,['Date'],70.0,3500.0,1,12,1,3.2156837524049,3,0,1,2,1,1,1,True,False,False,True,False,3.2156837524049,0,0,0
Seiko,Prospex,Stainless Steel,Rubber,Automatic,200,42.3,13.4,22.0,Blue,Non-Sapphire,['None'],50.0,650.0,0,7,1,3.156714062153685,5,0,1,2,0,1,1,True,False,False,True,False,3.156714062153685,0,0,0
Citizen,Promaster,Titanium,Titanium,Eco-Drive,200,45.0,15.0,23.0,Black,Sapphire,['Chronograph'],102.5,995.0,3,16,0,2.9999980000013333,3,1,1,2,1,2,1,False,True,False,True,False,5.999996000002667,16,0,1
Hamilton,Khaki Field Auto,Stainless Steel,Leather,Automatic,100,38.0,9.85,20.0,Black,Sapphire,['None'],80.0,545.0,0,11,1,3.8578641036912655,3,0,1,1,0,2,2,False,True,False,False,True,7.715728207382531,0,0,0
Bulova,Precisionist,Stainless Steel,Stainless Steel,Quartz,225,45.0,17.5,24.0,Black,Non-Sapphire,['Chronograph'],55.0,650.0,3,9,0,2.571427102041656,3,1,1,2,1,2,1,False,True,False,True,False,5.142854204083312,9,0,1
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Non-Sapphire,"['Chronograph', 'Tachymeter']",48.0,5500.0,5,11,1,2.9370608831742073,3,1,1,2,1,0,0,False,False,False,False,False,0.0,11,0,1
Breitling,Superocean Heritage,Stainless Steel,Rubber,Automatic,200,42.0,14.35,22.0,Black,Sapphire,['Date'],38.0,4800.0,1,11,1,2.9268272286918267,3,0,1,2,1,1,1,True,False,False,True,False,2.9268272286918267,0,0,0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,40.0,8.8,20.0,Silver,Sapphire,['Date'],70.0,6500.0,1,12,1,4.545449380171159,3,0,1,1,1,0,0,False,False,False,False,False,0.0,0,0,0
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100,39.8,9.08,21.5,Silver,Sapphire,['Date'],42.0,7500.0,1,10,1,4.383255084520832,3,1,1,1,1,1,2,True,False,False,False,True,4.383255084520832,10,0,1
Zenith,Elite,Stainless Steel,Leather,Automatic,50,40.5,9.15,20.0,Silver,Sapphire,['None'],50.0,4500.0,0,11,1,4.42622467079271,3,0,1,2,0,2,0,False,True,False,False,False,8.85244934158542,0,0,0
Panerai,Luminor Base,Stainless Steel,Leather,Manual,100,44.0,10.5,24.0,Black,Sapphire,['None'],56.0,5800.0,0,11,1,4.190472199550286,3,0,1,2,0,1,2,True,False,False,False,True,4.190472199550286,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Silver,Sapphire,['Date'],60.0,21000.0,1,10,1,3.9423039016308636,3,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,3,1
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,10.86,20.0,Black,Sapphire,['Date'],42.0,3800.0,1,12,1,3.775318807257084,3,0,1,2,1,0,2,False,False,False,False,True,0.0,0,0,0
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.7,22.0,Black,Sapphire,['Date'],70.0,3900.0,1,12,1,3.228343914689831,3,0,1,2,1,1,1,True,False,False,True,False,3.228343914689831,0,0,0
Longines,Conquest VHP,Stainless Steel,Stainless Steel,Quartz,50,41.0,12.1,20.0,Black,Sapphire,"['Chronograph', 'Date']",55.0,1500.0,4,13,0,3.3884269517132632,3,1,1,2,1,1,0,True,False,False,False,False,3.3884269517132632,13,0,1
Sinn,U1,Stainless Steel,Rubber,Automatic,225,44.0,14.3,22.0,Black,Sapphire,['None'],38.0,2500.0,0,10,1,3.076920925230122,3,0,1,2,0,2,1,False,True,False,True,False,6.153841850460244,0,0,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,"['Date', 'Power Reserve', 'Moon Phase']",45.0,32750.0,5,14,1,4.915656728124423,5,1,1,2,1,3,2,False,False,True,False,True,14.74697018437327,14,5,1
Audemars Piguet,Royal Oak,Rose Gold,Gold,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,32750.0,1,16,1,4.18366920033755,5,0,1,2,1,3,0,False,False,True,False,False,12.55100760101265,0,5,0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,"['Date', 'Power Reserve']",40.0,21000.0,3,12,1,3.727269338846056,5,1,1,2,1,3,2,False,False,True,False,True,11.181808016538167,12,5,1
A. Lange & Sohne,Saxonia,White Gold,Leather,Manual,30,38.5,7.8,18.0,Silver,Sapphire,['None'],45.0,23000.0,0,14,1,4.935891107831913,3,0,1,1,0,3,0,False,False,True,False,False,14.807673323495738,0,3,0
Breguet,Classique,Rose Gold,Leather,Manual,30,38.5,8.25,20.0,Silver,Sapphire,['Power Reserve'],65.0,23000.0,2,16,1,4.666661010107867,3,0,1,1,1,0,0,False,False,False,False,False,0.0,0,0,0
