Brand,Model,Case Material,Strap Material,Crystal Material,Dial Color,Case Diameter,Case Thickness,Band Width,Case_Size_Category,Case_Proportion,Movement Type,Movement_Complexity,Power Reserve,Complications,Has_Complication,Water Resistance,Water_Tier,Dial_Score,Complication_Score,Material_Match,Luxury_Index,Brand_Tier,Model_Tier,Brand_Tier_label_encoded,Model_Tier_label_encoded,Brand_Tier_target_encoded,Model_Tier_target_encoded,Brand_Case,Brand_Crystal,Material_Crystal_Movement,Price
Bell & Ross,Aviation,Stainless Steel,Rubber,Sapphire,Black,42.0,11.5,24.0,2,3.6521707372428374,Automatic,1,42.0,['Chronograph'],1,100,Standard,3,3,0,13,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.6521707372428374,1,2,4500.0
Sinn,104,Stainless Steel,Leather,Sapphire,Black,41.0,11.5,20.0,2,3.565214291118008,Automatic,1,42.0,['Date'],1,200,Professional,3,1,0,12,Other,Other,2,2,6734.697638357517,5907.872360090675,7.130428582236016,2,2,1400.0
Breguet,Classique,White Gold,Leather,Sapphire,Silver,38.0,8.65,20.0,1,4.393058505134676,Manual,1,40.0,['None'],0,30,Basic,3,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,16000.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Silver,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,22000.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Sapphire,Blue,41.0,11.0,22.0,2,3.727269338846056,Automatic,1,40.0,['Date'],1,150,Standard,5,1,0,11,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,2,19000.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Sapphire,Black,42.0,14.5,20.0,2,2.89654972651743,Automatic,1,60.0,"['Chronograph', 'Tachymeter']",1,50,Basic,3,5,1,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,4500.0
Breitling,Superocean,Stainless Steel,Rubber,Sapphire,Blue,42.0,13.3,20.0,2,3.1578923624869453,Automatic,1,38.0,['Date'],1,225,Professional,5,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.1578923624869453,1,2,3200.0
Panerai,Luminor Base Logo,Stainless Steel,Leather,Sapphire,Black,44.0,10.5,22.0,2,4.190472199550286,Manual,1,56.0,['None'],0,100,Standard,3,0,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,4.190472199550286,1,2,3900.0
Tudor,Black Bay,Stainless Steel,Leather,Sapphire,Black,41.0,11.9,22.0,2,3.4453752559871798,Automatic,1,70.0,['None'],0,200,Professional,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.4453752559871798,1,2,3500.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Sapphire,Black,40.0,12.5,20.0,1,3.199997440002048,Automatic,1,48.0,['GMT'],1,100,Standard,3,2,1,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,14000.0
IWC,Pilot's Watch,Stainless Steel,Leather,Sapphire,Black,41.0,12.5,20.0,2,3.2799973760020995,Automatic,1,42.0,['Date'],1,60,Standard,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,4800.0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Sapphire,Silver,39.0,7.58,20.0,1,5.145111945762605,Automatic,1,70.0,['None'],0,50,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,7500.0
Bell & Ross,BR 03-92,Ceramic,Rubber,Sapphire,Black,42.0,9.3,22.0,2,4.516124176210563,Automatic,1,102.5,['None'],0,100,Standard,3,0,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.516124176210563,1,2,8350.0
Montblanc,1858 Geosphere,Stainless Steel,Leather,Sapphire,Black,42.0,11.2,22.0,2,3.7499966517887042,Automatic,1,42.0,"['World Time', 'GMT']",1,100,Standard,3,4,0,15,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.7499966517887042,1,2,6200.0
Cartier,Santos-Dumont,Stainless Steel,Leather,Sapphire,Silver,38.0,7.5,18.0,1,5.0666599111201185,Quartz,0,55.0,['None'],0,30,Basic,3,0,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,5.0666599111201185,1,1,3500.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,21000.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Silver,37.0,12.0,20.0,1,3.08333076389103,Automatic,1,70.0,['Date'],1,100,Standard,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,9000.0
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Non-Sapphire,Black,42.0,14.3,20.0,2,2.9370608831742073,Manual,1,48.0,"['Chronograph', 'Tachymeter']",1,50,Basic,3,5,1,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5250.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,40.4,12.3,20.0,2,3.284550175162459,Automatic,1,60.0,['Date'],1,30,Basic,3,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,17800.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.4,23.0,2,2.922076024625958,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,11500.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,Silver,42.0,12.75,20.0,2,3.294115063439166,Automatic,1,50.0,['Chronograph'],1,100,Standard,3,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.588230126878332,2,2,6500.0
Breguet,Classique,Rose Gold,Leather,Sapphire,Silver,39.0,8.65,20.0,1,4.508665307901378,Automatic,1,45.0,['None'],0,30,Basic,3,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,23500.0
Piaget,Polo S,Stainless Steel,Stainless Steel,Sapphire,Blue,42.0,9.4,24.0,2,4.468080353106007,Automatic,1,50.0,['Date'],1,100,Standard,5,1,1,10,Other,Other,2,2,6734.697638357517,5907.872360090675,8.936160706212014,2,3,10000.0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Sapphire,Blue,44.0,12.5,22.0,2,3.519997184002253,Automatic,1,60.0,['Date'],1,100,Standard,5,1,0,11,Mid-Range,High-End,1,0,6528.445154051944,10828.963771655724,3.519997184002253,1,2,9500.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Sapphire,Silver,41.0,11.0,20.0,2,3.727269338846056,Automatic,1,60.0,['Date'],1,150,Standard,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,3,21500.0
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Sapphire,Black,43.0,12.27,23.0,2,3.5044796214510017,Automatic,1,68.0,['None'],0,30,Basic,3,0,0,11,Other,Other,2,2,6734.697638357517,5907.872360090675,7.008959242902003,2,2,9800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,19900.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.5,22.0,2,2.903223933403914,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,14400.0
Breguet,Type XXI,Stainless Steel,Leather,Sapphire,Silver,42.0,13.85,22.0,2,3.0324887852066533,Automatic,1,48.0,['Chronograph'],1,100,Standard,3,3,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,9500.0
Bulgari,Octo Finissimo,Titanium,Leather,Sapphire,Black,40.0,5.15,25.0,1,7.7669752097568745,Automatic,1,60.0,['None'],0,100,Standard,3,0,0,13,Other,Very High-End,2,3,6734.697638357517,23853.345678284422,15.533950419513749,2,2,12800.0
Chopard,Mille Miglia,Stainless Steel,Leather,Sapphire,Black,44.0,13.7,20.0,2,3.2116764878273814,Automatic,1,42.0,['Chronograph'],1,50,Basic,3,3,0,14,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.2116764878273814,1,2,6500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Blue,42.0,10.88,20.0,2,3.8602905695858736,Automatic,1,54.0,['None'],0,100,Standard,5,0,1,9,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,7800.0
Glashütte Original,Senator,Stainless Steel,Leather,Sapphire,Silver,42.0,12.2,21.0,2,3.4426201289998946,Automatic,1,40.0,['None'],0,50,Basic,3,0,0,11,Other,Other,2,2,6734.697638357517,5907.872360090675,6.885240257999789,2,2,9200.0
Hublot,Classic Fusion,Titanium,Rubber,Sapphire,Black,42.0,9.3,20.0,2,4.516124176210563,Automatic,1,42.0,['None'],0,50,Basic,3,0,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.516124176210563,1,2,6500.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,60.0,['None'],0,30,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8400.0
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Sapphire,Silver,43.0,12.13,23.0,2,3.5449270033577878,Automatic,1,68.0,['None'],0,30,Basic,3,0,0,11,Other,Other,2,2,6734.697638357517,5907.872360090675,7.0898540067155755,2,2,6200.0
Longines,Master Collection,Stainless Steel,Leather,Sapphire,Blue,38.5,9.3,20.0,1,4.139780494859683,Automatic,1,42.0,['Date'],1,30,Basic,5,1,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,4.139780494859683,1,2,1600.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.5,8.3,20.0,2,4.879512193358803,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.638536580076408,3,3,29800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,24500.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,60.0,['None'],0,30,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,7950.0
Hublot,Classic Fusion,Titanium,Rubber,Sapphire,Black,42.0,10.5,22.0,2,3.999996190479819,Automatic,1,42.0,['None'],0,50,Basic,3,0,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.999996190479819,1,2,8200.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.4,23.0,2,2.922076024625958,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,11500.0
Zenith,Chronomaster,Stainless Steel,Leather,Sapphire,Silver,42.0,13.1,22.0,2,3.2061044228210513,Automatic,1,50.0,['Chronograph'],1,100,Standard,3,3,0,14,Other,Other,2,2,6734.697638357517,5907.872360090675,6.412208845642103,2,2,9400.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Blue,38.0,10.88,25.0,1,3.492643848672933,Automatic,1,54.0,['None'],0,100,Standard,5,0,1,9,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,6700.0
Chopard,Mille Miglia,Stainless Steel,Leather,Sapphire,Black,42.0,11.43,20.0,2,3.6745374675962665,Automatic,1,42.0,['Chronograph'],1,50,Basic,3,3,0,14,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.6745374675962665,1,2,6100.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,11.0,22.0,2,3.727269338846056,Automatic,1,60.0,['Date'],1,150,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,3,16300.0
Montblanc,1858,Stainless Steel,Leather,Sapphire,Black,42.0,12.8,22.0,2,3.2812474365254403,Automatic,1,38.0,['None'],0,100,Standard,3,0,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.2812474365254403,1,2,3600.0
Ulysse Nardin,Marine,Stainless Steel,Rubber,Sapphire,Black,44.0,12.5,22.0,2,3.519997184002253,Automatic,1,60.0,['Date'],1,225,Professional,3,1,0,11,Mid-Range,High-End,1,0,6528.445154051944,10828.963771655724,3.519997184002253,1,2,9500.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Silver,41.0,11.2,20.0,2,3.6607110172223063,Automatic,1,70.0,['Date'],1,100,Standard,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,8900.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.8,8.3,20.0,2,4.915656728124423,Automatic,1,48.0,"['Date', 'Moon Phase']",1,120,Standard,5,3,1,12,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.74697018437327,3,3,32750.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,17000.0
Tudor,Black Bay,Stainless Steel,Fabric,Sapphire,Black,41.0,12.7,22.0,2,3.228343914689831,Automatic,1,70.0,['None'],0,200,Professional,3,0,0,9,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.228343914689831,1,2,4500.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,46.0,"['Chronograph', 'Date']",1,30,Basic,3,4,0,15,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8300.0
Panerai,Luminor Marina,Stainless Steel,Leather,Sapphire,Black,44.0,13.05,24.0,2,3.3716449259425856,Automatic,1,72.0,"['Date', 'Second Time Zone']",1,225,Professional,3,3,0,14,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3716449259425856,1,2,8900.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,43.6,13.83,23.0,2,3.152564604074762,Automatic,1,102.5,"['Date', 'Unidirectional Bezel']",1,225,Professional,3,2,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,12000.0
Hublot,Classic Fusion,Titanium,Rubber,Sapphire,Blue,45.0,10.95,24.0,2,4.109585288049965,Automatic,1,42.0,['Date'],1,50,Basic,5,1,0,13,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.109585288049965,1,2,7500.0
Zenith,Chronomaster,Stainless Steel,Leather,Sapphire,Silver,42.0,14.05,22.0,2,2.9893217157852554,Automatic,1,50.0,"['Chronograph', 'Date']",1,50,Basic,3,4,0,15,Other,Other,2,2,6734.697638357517,5907.872360090675,5.978643431570511,2,2,6900.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,11.0,20.0,2,3.727269338846056,Automatic,1,60.0,"['Date', 'Second Time Zone']",1,50,Basic,5,3,1,12,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,3,15500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Black,42.0,10.88,22.0,2,3.8602905695858736,Automatic,1,54.0,['None'],0,100,Standard,3,0,1,9,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,11200.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,39.0,9.4,20.0,1,4.148931756455578,Automatic,1,60.0,"['Date', 'Power Reserve Indicator']",1,50,Basic,5,3,1,12,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.446795269366735,3,3,18900.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.5,8.3,20.0,2,4.879512193358803,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.638536580076408,3,3,32750.0
IWC,Pilot's Watch,Stainless Steel,Leather,Sapphire,Black,41.0,12.5,20.0,2,3.2799973760020995,Automatic,1,44.0,"['Date', 'Chronograph']",1,60,Standard,3,4,0,15,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,5500.0
Panerai,Luminor,Titanium,Rubber,Sapphire,Black,44.0,15.65,24.0,2,2.8114998009585936,Automatic,1,72.0,['Date'],1,225,Professional,3,1,0,13,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.8114998009585936,1,2,9600.0
Breguet,Type XX,Stainless Steel,Leather,Sapphire,Black,39.5,14.1,20.0,1,2.8014164528961327,Automatic,1,48.0,"['Date', 'Chronograph', 'Flyback']",1,100,Standard,3,6,0,17,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8800.0
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Sapphire,Black,43.0,13.4,23.0,2,3.2089528291396796,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,14700.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Blue,42.0,10.88,22.0,2,3.8602905695858736,Automatic,1,54.0,['Date'],1,100,Standard,5,1,1,10,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,10600.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,11.0,20.0,2,3.727269338846056,Automatic,1,60.0,['Date'],1,150,Standard,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,3,19200.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,Silver,38.0,12.15,19.0,1,3.127569442329677,Automatic,1,50.0,['Chronograph'],1,100,Standard,3,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.255138884659354,2,2,7500.0
Chopard,Mille Miglia,Stainless Steel,Leather,Sapphire,Black,42.0,12.67,20.0,2,3.3149145107225646,Automatic,1,48.0,['Chronograph'],1,50,Basic,3,3,0,14,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.3149145107225646,1,2,5600.0
Longines,HydroConquest,Stainless Steel,Stainless Steel,Sapphire,Blue,43.0,12.75,22.0,2,3.372546374473432,Automatic,1,64.0,['Date'],1,225,Professional,5,1,1,10,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.372546374473432,1,3,1400.0
Rolex,Submariner,Stainless Steel,Stainless Steel,Sapphire,Black,40.0,13.0,20.0,1,3.0769207100609925,Automatic,1,48.0,['Date'],1,225,Professional,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,9500.0
Omega,Seamaster,Titanium,Rubber,Sapphire,Blue,43.5,14.47,21.0,2,3.006217687479138,Automatic,1,60.0,['Date'],1,225,Professional,5,1,0,13,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5800.0
Tag Heuer,Carrera,Stainless Steel,Leather,Sapphire,White,41.0,13.0,20.0,2,3.153843727812517,Automatic,1,42.0,['Chronograph'],1,100,Standard,4,3,0,14,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.153843727812517,1,2,4200.0
Breitling,Navitimer,Stainless Steel,Stainless Steel,Sapphire,Black,43.0,14.25,22.0,2,3.0175417420759705,Automatic,1,70.0,['Chronograph'],1,30,Basic,3,3,1,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.0175417420759705,1,3,7900.0
Cartier,Tank Solo,Stainless Steel,Leather,Sapphire,Silver,37.0,6.05,20.0,1,6.115692370756412,Quartz,0,55.0,['None'],0,30,Basic,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,6.115692370756412,1,1,2800.0
Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Sapphire,Black,42.9,9.2,20.0,2,4.663038409740859,Manual,1,45.0,['None'],0,30,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5500.0
Tudor,Black Bay,Stainless Steel,Leather,Sapphire,Black,41.0,12.75,22.0,2,3.2156837524049,Automatic,1,70.0,['Date'],1,200,Professional,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.2156837524049,1,2,3500.0
Seiko,Prospex,Stainless Steel,Rubber,Non-Sapphire,Blue,42.3,13.4,22.0,2,3.156714062153685,Automatic,1,50.0,['None'],0,200,Professional,5,0,0,7,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.156714062153685,0,1,650.0
Citizen,Promaster,Titanium,Titanium,Sapphire,Black,45.0,15.0,23.0,2,2.9999980000013333,Eco-Drive,0,102.5,['Chronograph'],1,200,Professional,3,3,1,16,Other,Other,2,2,6734.697638357517,5907.872360090675,5.999996000002667,2,2,995.0
Hamilton,Khaki Field Auto,Stainless Steel,Leather,Sapphire,Black,38.0,9.85,20.0,1,3.8578641036912655,Automatic,1,80.0,['None'],0,100,Standard,3,0,0,11,Other,Mid-Range,2,1,6734.697638357517,7596.0792482079405,7.715728207382531,2,2,545.0
Bulova,Precisionist,Stainless Steel,Stainless Steel,Non-Sapphire,Black,45.0,17.5,24.0,2,2.571427102041656,Quartz,0,55.0,['Chronograph'],1,225,Professional,3,3,1,9,Other,Other,2,2,6734.697638357517,5907.872360090675,5.142854204083312,0,1,650.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Non-Sapphire,Black,42.0,14.3,20.0,2,2.9370608831742073,Manual,1,48.0,"['Chronograph', 'Tachymeter']",1,50,Basic,3,5,1,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5500.0
Breitling,Superocean Heritage,Stainless Steel,Rubber,Sapphire,Black,42.0,14.35,22.0,2,2.9268272286918267,Automatic,1,38.0,['Date'],1,200,Professional,3,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,2.9268272286918267,1,2,4800.0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Sapphire,Silver,40.0,8.8,20.0,1,4.545449380171159,Automatic,1,70.0,['Date'],1,50,Basic,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,6500.0
